weight_set,grade_a_count,grade_b_count,grade_c_count,review_count,manual_review_rate,rotten_to_c_or_review_rate,risky_a_b_decisions,mean_overall_quality_score,action_distribution,note
full_default,12,6,15,0,0.7272727272727273,1.0,0,64.11517878787879,discount_or_quick_sale:6|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:12,No supervised grade labels; compare consistency and risk controls only.
model_only,12,6,15,0,0.7272727272727273,1.0,0,63.29750606060605,discount_or_quick_sale:6|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:12,No supervised grade labels; compare consistency and risk controls only.
visual_only,0,18,15,0,0.7272727272727273,1.0,0,63.65945454545454,discount_or_quick_sale:18|manual_review_before_listing:9|manual_review_or_discard:6,No supervised grade labels; compare consistency and risk controls only.
no_color,11,7,15,0,0.7272727272727273,1.0,0,59.30199696969699,discount_or_quick_sale:7|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:11,No supervised grade labels; compare consistency and risk controls only.
no_defect_absence,11,7,15,0,0.7272727272727273,1.0,0,64.65468787878787,discount_or_quick_sale:7|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:11,No supervised grade labels; compare consistency and risk controls only.
no_image_quality,12,6,15,0,0.7272727272727273,1.0,0,68.1408696969697,discount_or_quick_sale:6|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:12,No supervised grade labels; compare consistency and risk controls only.
no_size_proxy,10,8,15,0,0.7272727272727273,1.0,0,61.49465454545454,discount_or_quick_sale:8|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:10,No supervised grade labels; compare consistency and risk controls only.
more_visual_colour,12,6,15,0,0.7272727272727273,1.0,0,64.78425454545456,discount_or_quick_sale:6|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:12,No supervised grade labels; compare consistency and risk controls only.
safer_model_led,11,7,15,0,0.7272727272727273,1.0,0,63.4461,discount_or_quick_sale:7|manual_review_before_listing:9|manual_review_or_discard:6|normal_sale:11,No supervised grade labels; compare consistency and risk controls only.
