method,precision_at_3,recall_at_3,hit_rate_at_3,product_coverage,producer_diversity,unique_recommended_producers,total_producers,largest_producer_recommendation_share,cold_start_fallback_count,evaluated_customers,notes
global_popularity,0.11666666666666664,0.05894078144078145,0.3,0.05,0.16666666666666666,2,12,0.6666666666666666,0,60,Synthetic DESD seed data; proof-of-concept metrics only.
user_frequency,0.11666666666666664,0.052361712361712366,0.3,0.9333333333333333,1.0,12,12,0.12222222222222222,0,60,Synthetic DESD seed data; proof-of-concept metrics only.
frequency_recency,0.12222222222222219,0.05507936507936508,0.3,0.9333333333333333,1.0,12,12,0.15,0,60,Synthetic DESD seed data; proof-of-concept metrics only.
