branch,alpha,precision_at_3,recall_at_3,hit_rate_at_3,product_coverage,producer_diversity,largest_producer_recommendation_share,mean_producer_exposure_share,recommendation_quality_delta
quick_reorder,0.0,0.12222222222222219,0.05507936507936508,0.3,0.9333333333333333,1.0,0.15,0.08333333333333333,0.0
quick_reorder,0.05,0.1222222222222222,0.04952380952380952,0.2833333333333333,0.9333333333333333,1.0,0.14444444444444443,0.08333333333333333,-0.016666666666666663
quick_reorder,0.1,0.11666666666666664,0.04767195767195767,0.2833333333333333,0.9166666666666666,1.0,0.1388888888888889,0.08333333333333333,-0.016666666666666663
quick_reorder,0.15,0.11666666666666664,0.04767195767195767,0.2833333333333333,0.9166666666666666,1.0,0.1388888888888889,0.08333333333333333,-0.016666666666666663
quick_reorder,0.2,0.11666666666666664,0.04767195767195767,0.2833333333333333,0.9166666666666666,1.0,0.1388888888888889,0.08333333333333333,-0.016666666666666663
quick_reorder,0.3,0.1222222222222222,0.05183862433862434,0.3,0.9166666666666666,1.0,0.1388888888888889,0.08333333333333333,0.0
discovery,0.0,0.13888888888888884,0.11714285714285716,0.38333333333333336,0.43333333333333335,0.8333333333333334,0.29444444444444445,0.1,0.0
discovery,0.05,0.13333333333333328,0.11545634920634923,0.38333333333333336,0.4,0.75,0.4388888888888889,0.11111111111111113,0.0
discovery,0.1,0.13333333333333328,0.11545634920634923,0.38333333333333336,0.4,0.75,0.43333333333333335,0.11111111111111113,0.0
discovery,0.15,0.13888888888888884,0.11697150072150074,0.4,0.4,0.75,0.42777777777777776,0.1111111111111111,0.016666666666666663
discovery,0.2,0.13888888888888884,0.11697150072150074,0.4,0.4,0.75,0.4166666666666667,0.1111111111111111,0.016666666666666663
discovery,0.3,0.1444444444444444,0.1225270562770563,0.4166666666666667,0.38333333333333336,0.75,0.3888888888888889,0.1111111111111111,0.033333333333333326
